Year Released,Album Length,Album Name,Artist
2019,3736597,Homerun,Paulo Londra
2019,1790139,Kisses,Anitta
2019,1790139,Kisses,Anitta
2015,2553808,Bang,Anitta
2014,5932042,Meu Lugar,Anitta
2014,2161313,Ritmo Perfeito,Anitta
2013,2754021,Anitta,Anitta
2013,2265622,Anitta,Anitta
2019,3174352,MALA SANTA,Becky G
2022,2008512,TRAP CAKE VOL. 2,Rauw Alejandro
2021,2867806,VICE VERSA,Rauw Alejandro
2020,3669784,Afrodisíaco,Rauw Alejandro
2020,2887604,Concierto Virtual en Tiempos de COVID-19 Desde el Coliseo de Puerto Rico,Rauw Alejandro
2019,1736340,"Trap Cake, Vol. 1",Rauw Alejandro
2021,6266782,JOSE (Deluxe Edition),J Balvin
2021,6028524,JOSE (Deluxe Edition),J Balvin
2021,4770565,JOSE,J Balvin
2020,1738116,Colores,J Balvin
2019,1866504,OASIS,J Balvin
2018,2630649,Vibras,J Balvin
2017,3121969,Energía Lado B,J Balvin
2016,3302517,Energía,J Balvin
2016,2930731,Energía,J Balvin
2014,4398817,La Familia B Sides,J Balvin
2013,3218020,La Familia,J Balvin
2013,3795672,La Familia,J Balvin
2012,3746270,J Balvin Mix Tape,J Balvin
2021,3861022,Timelezz,Jhay Cortez
2020,4197742,Famouz Reloaded,Jhay Cortez
2019,3054450,Famouz,Jhay Cortez
2018,2158518,Eyez On Me,Jhay Cortez
2021,2021707,Hecho En Medellín,Blessd
2022,2522207,@dannocean,Danny Ocean
2019,2577980,54+1,Danny Ocean
2019,1131918,54+1 (Commentary),Danny Ocean
2022,3270548,LEGENDADDY,Daddy Yankee
2020,2270807,"2K20, Pt. 3 (Live)",Daddy Yankee
2020,2640781,"2K20, Pt. 2 (Live)",Daddy Yankee
2020,2844208,"2K20, Pt. 1 (Live)",Daddy Yankee
2013,2157183,King Daddy,Daddy Yankee
2012,4109698,Muve Sessions: Prestige,Daddy Yankee
2012,4077923,Prestige,Daddy Yankee
2012,3855450,Prestige,Daddy Yankee
2012,3855450,Prestige,Daddy Yankee
2012,3660234,Prestige,Daddy Yankee
2012,3660234,Prestige,Daddy Yankee
2010,2824459,Mundial (Deluxe Version),Daddy Yankee
2010,2470473,Mundial,Daddy Yankee
2008,3355286,Talento de Barrio,Daddy Yankee
2007,4671752,El Cartel: The Big Boss,Daddy Yankee
2006,2986436,Barrio Fino En Directo,Daddy Yankee
2005,2965954,Barrio Fino En Directo,Daddy Yankee
2005,2985555,Barrio Fino En Directo,Daddy Yankee
2004,4289087,Barrio Fino (Bonus Track Version),Daddy Yankee
2003,4113593,Los Homerun-es,Daddy Yankee
2002,2606857,El Cangri.com,Daddy Yankee
2022,2545356,MOTOMAMI,ROSALÍA
2018,1818476,El Mal Querer,ROSALÍA
2017,2950368,Los Ángeles,ROSALÍA
2021,3494795,KG0516,KAROL G
2019,3057275,OCEAN,KAROL G
2017,2569981,Unstoppable,KAROL G
2021,2066370,Animal,Maria Becerra
2021,2519343,Los Dioses,Anuel AA
2020,4333033,Enoc,Ozuna
2019,3518221,Nibiru,Ozuna
2018,4092285,Aura,Ozuna
2017,3477475,Odisea,Ozuna
2022,3233701,Dharma,Sebastian Yatra
2019,2399822,FANTASÍA,Sebastian Yatra
2018,3364464,MANTRA,Sebastian Yatra
2022,3133209,Mal De Amores,Sofía Reyes
2017,2465591,Louder!,Sofía Reyes
2021,3810421,INTER SHIBUYA (FERXXO EDITION),Feid
2021,2214196,INTER SHIBUYA - LA MAFIA,Feid
2020,2064517,BAHÍA DUCATI,Feid
2020,2734235,FERXXO (VOL 1: M.O.R),Feid
2019,1694942,19,Feid
2017,3261779,Así Como Suena,Feid
2017,3261780,Así Como Suena,Feid
2015,1707411,Así Como Suena,Feid
2022,2270064,Marry Me (Original Motion Picture Soundtrack),Jennifer Lopez
2021,1424941,#7DJ (7 Días En Jamaica),Maluma
2020,4421347,PAPI JUANCHO,Maluma
2019,3114311,11:11,Maluma
2018,3030688,F.A.M.E.,Maluma
2015,3356101,"Pretty Boy, Dirty Boy",Maluma
2015,1973837,PB.DB. The Mixtape,Maluma
2012,3003862,Magia,Maluma
2021,3177489,Felicilandia,Alvaro Diaz
2020,3805915,Diaz Antes,Alvaro Diaz
2016,1890284,San Juan Grand Prix,Alvaro Diaz
2015,3387912,Hato Rey,Alvaro Diaz
2021,2739826,Infinity,Nicky Jam
2021,2739826,Infinity,Nicky Jam
2019,2759366,Intimo,Nicky Jam
2019,2760256,Íntimo,Nicky Jam
2017,5449467,Fénix,Nicky Jam
2017,5453282,Fenix,Nicky Jam
2016,3230901,Vida Escante,Nicky Jam
2016,1601914,Exitos,Nicky Jam
2014,1809958,Nicky Jam Hits,Nicky Jam
2014,2796341,Salon De La Fama,Nicky Jam
2007,2655674,The Black Carpet,Nicky Jam
2001,1620672,Haciendo Escante,Nicky Jam
2022,1659303,CHAMA MEU NOME,PEDRO SAMPAIO
2021,4016662,Sauce Boyz 2,Eladio Carrion
2021,1321280,SEN2 KBRN VOL. 1,Eladio Carrion
2021,2503441,Monarca,Eladio Carrion
2020,5531352,Sauce Boyz Care Package,Eladio Carrion
2020,3548097,Sauce Boyz,Eladio Carrion
2022,2153739,Pa'lla Voy,Marc Anthony
